tweet_id,name,dog_class,rating,breed,confidence_lvl,retweet_count,favorite_count,year,month,day
892420643555336193,Phineas,None,13.0,Not Dog,0.0,8853,39467,2017,8,1
892177421306343426,Tilly,None,13.0,Chihuahua,0.323581,6514,33819,2017,8,1
891815181378084864,Archie,None,12.0,Chihuahua,0.716012,4328,25461,2017,7,31
891689557279858688,Darla,None,13.0,Labrador Retriever,0.168086,8964,42908,2017,7,30
891327558926688256,Franklin,None,12.0,Basset,0.555712,9774,41048,2017,7,29
891087950875897856,None,None,13.0,Chesapeake Bay Retriever,0.425595,3261,20562,2017,7,29
890971913173991426,Jax,None,13.0,Appenzeller,0.34170300000000003,2158,12041,2017,7,28
890729181411237888,None,None,13.0,Pomeranian,0.566142,16716,56848,2017,7,28
890609185150312448,Zoey,None,13.0,Irish Terrier,0.487574,4429,28226,2017,7,27
890240255349198849,Cassie,Doggo,14.0,Pembroke,0.511319,7711,32467,2017,7,26
890006608113172480,Koda,None,13.0,Samoyed,0.957979,7624,31166,2017,7,26
889880896479866881,Bruno,None,13.0,French Bulldog,0.377417,5156,28268,2017,7,25
889665388333682689,None,Puppo,13.0,Pembroke,0.966327,8538,38818,2017,7,25
889638837579907072,Ted,None,12.0,French Bulldog,0.99165,4735,27672,2017,7,25
889531135344209921,Stuart,Puppo,13.0,Golden Retriever,0.953442,2321,15359,2017,7,24
889278841981685760,Oliver,None,13.0,Whippet,0.626152,5637,25652,2017,7,24
888917238123831296,Jim,None,12.0,Golden Retriever,0.714719,4709,29611,2017,7,23
888804989199671297,Zeke,None,13.0,Golden Retriever,0.46976,4559,26080,2017,7,22
888554962724278272,Ralphus,None,13.0,Siberian Husky,0.700377,3732,20290,2017,7,22
888078434458587136,Gerald,None,12.0,French Bulldog,0.995026,3653,22201,2017,7,20
887705289381826560,Jeffrey,None,13.0,Basset,0.821664,5609,30779,2017,7,19
887517139158093824,None,None,14.0,Not Dog,0.0,12082,46959,2017,7,19
887343217045368832,None,None,13.0,Mexican Hairless,0.330741,10737,34222,2017,7,18
887101392804085760,None,None,12.0,Samoyed,0.733942,6167,31061,2017,7,18
886983233522544640,Maya,None,13.0,Chihuahua,0.793469,8084,35859,2017,7,17
886736880519319552,Mingus,None,13.0,Kuvasz,0.309706,3443,12306,2017,7,16
886680336477933568,Derek,None,13.0,Not Dog,0.0,4610,22798,2017,7,16
886366144734445568,Roscoe,Pupper,12.0,French Bulldog,0.999201,3316,21524,2017,7,15
886258384151887873,Waffles,None,13.0,Pug,0.943575,6523,28469,2017,7,15
885984800019947520,Jimbo,None,12.0,Blenheim Spaniel,0.972494,7097,33382,2017,7,14
885528943205470208,Maisey,None,13.0,Pug,0.369275,6683,36689,2017,7,13
885167619883638784,None,None,13.0,Malamute,0.8124819999999999,4556,22367,2017,7,12
884925521741709313,Earl,None,12.0,Italian Greyhound,0.259916,16439,68152,2017,7,12
884876753390489601,Lola,None,13.0,Chow,0.822103,6096,28514,2017,7,11
884562892145688576,Kevin,None,13.0,Pug,0.5464060000000001,5100,24765,2017,7,11
884441805382717440,None,None,14.0,Pembroke,0.993225,5856,27478,2017,7,10
884162670584377345,Yogi,Doggo,12.0,German Shepherd,0.707046,3128,20771,2017,7,9
883838122936631299,Noah,None,12.0,Doberman,0.610946,3586,22349,2017,7,9
883482846933004288,Bella,None,13.5,Golden Retriever,0.943082,10407,46860,2017,7,8
883360690899218434,Grizzwald,Floofer,13.0,Chow,0.987997,3825,22986,2017,7,7
883117836046086144,None,None,13.0,Golden Retriever,0.949562,6949,37914,2017,7,7
882992080364220416,Rusty,None,13.0,Eskimo Dog,0.466778,4122,24445,2017,7,6
882762694511734784,Gus,Pupper,12.0,Labrador Retriever,0.85005,5134,28903,2017,7,6
882627270321602560,Stanley,None,13.0,Pembroke,0.542982,6342,28382,2017,7,5
882268110199369728,Alfy,None,13.0,Golden Retriever,0.762211,12118,45880,2017,7,4
882045870035918850,Koko,None,13.0,Golden Retriever,0.00694063,5203,29900,2017,7,4
881906580714921986,Rey,None,12.0,Weimaraner,0.291539,3533,24773,2017,7,3
881666595344535552,Gary,None,13.0,Saluki,0.529012,11099,51522,2017,7,3
881536004380872706,None,Pupper,14.0,Samoyed,0.281463,16570,50199,2017,7,2
881268444196462592,Elliot,None,12.0,Not Dog,0.0,5358,23501,2017,7,1
880935762899988482,Louis,None,13.0,Not Dog,0.0,2886,17346,2017,6,30
880872448815771648,None,None,12.0,Pembroke,0.791416,3989,21734,2017,6,30
880465832366813184,Bella,None,12.0,Golden Retriever,0.913255,6546,29075,2017,6,29
880221127280381952,Jesse,None,12.0,Chihuahua,0.238525,4436,27640,2017,6,29
880095782870896641,None,None,11.0,Miniature Pinscher,0.120298,4533,28150,2017,6,28
879862464715927552,Romeo,None,13.0,Basset,0.813507,3642,22667,2017,6,28
879492040517615616,Bailey,None,12.0,German Short-Haired Pointer,0.479896,3323,23822,2017,6,27
879415818425184262,Duddles,None,13.0,English Springer,0.383404,45849,107956,2017,6,26
879376492567855104,Jack,None,12.0,Labrador Retriever,0.0334961,3261,17099,2017,6,26
879050749262655488,Steven,None,11.0,Not Dog,0.0,4941,23022,2017,6,25
879008229531029506,Beau,None,13.0,Vizsla,0.960513,2812,19317,2017,6,25
878776093423087618,Snoopy,Puppo,13.0,Italian Greyhound,0.734684,4319,19763,2017,6,25
878281511006478336,Shadow,None,13.0,Basset,0.32042,1349,7913,2017,6,23
878057613040115712,Emmy,None,14.0,French Bulldog,0.839097,7181,42876,2017,6,23
877736472329191424,Aja,None,13.0,Chesapeake Bay Retriever,0.8379559999999999,17300,71144,2017,6,22
877556246731214848,Penny,None,12.0,Basset,0.995368,3994,23258,2017,6,21
877316821321428993,Dante,None,13.0,Saluki,0.5099670000000001,5414,27907,2017,6,21
877201837425926144,Nelly,None,12.0,Pembroke,0.93112,5880,27755,2017,6,20
876838120628539392,Ginger,Pupper,12.0,Bloodhound,0.575751,3506,21125,2017,6,19
876484053909872640,Benedict,None,13.0,Golden Retriever,0.874566,2511,19163,2017,6,18
876120275196170240,Venti,None,13.0,Bernese Mountain Dog,0.534327,4903,28490,2017,6,17
875747767867523072,Goose,None,13.0,Labrador Retriever,0.799551,4497,25773,2017,6,16
875144289856114688,Nugget,None,13.0,Siberian Husky,0.245048,5081,22185,2017,6,15
875021211251597312,None,None,12.0,West Highland White Terrier,0.7143189999999999,4922,26022,2017,6,14
874680097055178752,Cash,None,12.0,Labrador Retriever,0.836052,4875,28439,2017,6,13
874296783580663808,Jed,Pupper,13.0,Cocker Spaniel,0.437216,4308,26651,2017,6,12
874057562936811520,None,None,12.0,Flat-Coated Retriever,0.8321770000000001,4125,23134,2017,6,12
874012996292530176,Sebastian,Puppo,13.0,Cardigan,0.806674,11007,35501,2017,6,11
873580283840344065,None,None,13.0,Newfoundland,0.678537,4143,24837,2017,6,10
873213775632977920,Sierra,Pupper,12.0,Vizsla,0.6197819999999999,1667,7467,2017,6,9
872967104147763200,None,Doggo,12.0,Labrador Retriever,0.476913,5669,28031,2017,6,9
872820683541237760,None,None,13.0,Pug,0.99912,3884,15029,2017,6,8
872620804844003328,Monkey,None,13.0,Cocker Spaniel,0.513191,3911,21309,2017,6,8
872486979161796608,None,None,12.0,Pembroke,0.931861,9429,41606,2017,6,7
872261713294495745,Harry,None,13.0,Labrador Retriever,0.972019,6649,35085,2017,6,7
872122724285648897,Kody,None,12.0,Pug,0.06673630000000001,8549,35324,2017,6,6
871879754684805121,Lassie,None,13.0,Shetland Sheepdog,0.969171,11918,39090,2017,6,6
871762521631449091,Rover,Pupper,12.0,Labrador Retriever,0.921393,3678,20787,2017,6,5
871515927908634625,Napolean,Doggo,12.0,Komondor,0.974781,3628,20730,2017,6,4
871032628920680449,Boomer,None,13.0,Kelpie,0.3980530000000001,3999,23255,2017,6,3
870804317367881728,None,None,11.0,Not Dog,0.0,6393,33791,2017,6,3
870656317836468226,Cody,None,13.0,Pembroke,0.945495,2817,12819,2017,6,2
870374049280663552,Zoey,None,13.0,Golden Retriever,0.841001,27680,85011,2017,6,1
870308999962521604,Rumble,None,13.0,Greater Swiss Mountain Dog,0.6227520000000001,4384,22453,2017,6,1
870063196459192321,Clifford,None,14.0,Not Dog,0.0,8840,37771,2017,5,31
869772420881756160,Dewey,None,13.0,Pembroke,0.980148,10663,43710,2017,5,31
869702957897576449,Stanley,None,13.0,Pembroke,0.993449,6728,29116,2017,5,30
869596645499047938,Scout,Doggo,12.0,Chihuahua,0.955156,3327,16476,2017,5,30
869227993411051520,Gizmo,None,13.0,Pembroke,0.664181,4023,21112,2017,5,29
868622495443632128,None,None,13.0,Labrador Retriever,0.868107,6275,28295,2017,5,28
868552278524837888,Cooper,None,12.0,Whippet,0.378151,2240,10539,2017,5,27
867900495410671616,None,None,12.0,Labrador Retriever,0.522644,4439,24964,2017,5,26
